Genre,Mood,Popularity_Score,Release_Date,Customer_Rating,Play_Count,Economic_Indicator,Age,Gender,Ad_Listener,Premium_Subscription,Revenue,Listening_History,Search_History,Playlist_Additions,Liked_Tracks,Skipped_Tracks,Location,Event_Influence,Friends_Popular_Tracks,Viral_Status,ReleaseYear,Age_Group
Hip-Hop/Rap,Melancholic,29,2011-02-22,4,158,-0.431753503,58,Female,No,Yes,9.303357969,Imagine Dragons - Believer,Lofi tracks,Adele - Hello,Taylor Swift - Blank Space,Drake - Hotline Bling,London,Grammys 2023,Queen - Bohemian Rhapsody,No,2011,51-60
Jazz,Melancholic,90,2011-02-23,1,1028,1.696708504,48,Male,Yes,No,2.292603836,The Beatles - Hey Jude,Rock classics,Queen - Bohemian Rhapsody,Billie Eilish - Bad Guy,Cardi B - WAP,London,Local Concert,Billie Eilish - Bad Guy,No,2011,41-50
Pop,Relaxed,14,2011-02-24,3,904,-1.784815662,52,Male,No,No,2.774645974,Imagine Dragons - Believer,Pop genre,Queen - Bohemian Rhapsody,Billie Eilish - Bad Guy,Justin Bieber - Baby,Tokyo,Local Concert,Imagine Dragons - Believer,No,2011,51-60
Country,Melancholic,14,2011-02-25,3,976,1.939326105,26,Female,Yes,No,0.565783347,The Beatles - Hey Jude,Taylor Swift,Queen - Bohemian Rhapsody,The Beatles - Hey Jude,Justin Bieber - Baby,Paris,Local Concert,Adele - Hello,No,2011,19-30
Reggae,Energetic,58,2011-02-26,1,1131,1.211528228,59,Others,Yes,No,3.863380335,Imagine Dragons - Believer,Queen,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,Paris,Local Concert,Adele - Hello,No,2011,51-60
Country,Melancholic,100,2011-02-27,2,897,-0.869925603,47,Male,No,Yes,11.84815545,Coldplay - Yellow,Lofi tracks,Adele - Hello,Queen - Bohemian Rhapsody,Cardi B - WAP,London,Local Concert,Taylor Swift - Willow,No,2011,41-50
Hip-Hop/Rap,Energetic,53,2011-02-28,2,135,-0.666698537,52,Male,No,No,2.95782983,Adele - Hello,Taylor Swift,Imagine Dragons - Believer,Queen - Bohemian Rhapsody,Drake - Hotline Bling,London,Coachella 2022,Imagine Dragons - Believer,No,2011,51-60
R&B/Soul,Energetic,12,2011-03-01,1,1047,0.60787158,44,Male,Yes,No,3.85602559,Coldplay - Yellow,Taylor Swift,The Beatles - Hey Jude,The Beatles - Hey Jude,Cardi B - WAP,London,Grammys 2023,Coldplay - Yellow,No,2011,41-50
Reggae,Energetic,17,2011-03-02,5,31,-1.65776576,36,Male,Yes,No,2.9678602,Taylor Swift - Love Story,Queen,The Beatles - Hey Jude,Coldplay - Yellow,Drake - Hotline Bling,Tokyo,Local Concert,Taylor Swift - Willow,No,2011,31-40
Hip-Hop/Rap,Energetic,78,2011-03-03,2,1466,1.761848056,35,Others,Yes,No,3.290734236,Adele - Hello,Taylor Swift,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Drake - Hotline Bling,LA,Grammys 2023,Imagine Dragons - Believer,No,2011,31-40
Hip-Hop/Rap,Relaxed,65,2011-03-04,1,1428,-0.575579722,49,Male,Yes,No,2.159219727,Coldplay - Yellow,Queen,Taylor Swift - Shake it Off,The Beatles - Hey Jude,Justin Bieber - Baby,LA,Billboard Top 50,Billie Eilish - Bad Guy,No,2011,41-50
Rock,Energetic,56,2011-03-05,4,1235,0.315545568,22,Male,Yes,No,1.779994807,Imagine Dragons - Believer,Queen,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Justin Bieber - Baby,LA,Oscar-winning movie soundtrack,Taylor Swift - Willow,No,2011,19-30
R&B/Soul,Melancholic,75,2011-03-06,4,374,1.01487192,57,Male,Yes,No,0.753509343,Imagine Dragons - Believer,Taylor Swift,Queen - Bohemian Rhapsody,Coldplay - Yellow,Imagine Dragons - Thunder,NY,Coachella 2022,Adele - Hello,No,2011,51-60
Blues,Energetic,34,2011-03-07,3,867,-0.973535446,31,Non-Binary,Yes,No,1.712101458,Taylor Swift - Love Story,Queen,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Justin Bieber - Baby,NY,Coachella 2022,Queen - Bohemian Rhapsody,No,2011,31-40
Country,Energetic,39,2011-03-08,3,516,1.579694175,24,Non-Binary,No,Yes,12.73707959,Coldplay - Yellow,Lofi tracks,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Cardi B - WAP,NY,Coachella 2022,Queen - Bohemian Rhapsody,No,2011,19-30
Hip-Hop/Rap,Relaxed,35,2011-03-09,4,1445,-1.363024962,52,Female,No,No,2.135819149,Coldplay - Yellow,Taylor Swift,Adele - Hello,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,London,Local Concert,Imagine Dragons - Believer,No,2011,51-60
Blues,Relaxed,62,2011-03-10,5,1278,1.647953328,47,Others,No,No,2.618240355,Coldplay - Yellow,Queen,Adele - Hello,Taylor Swift - Blank Space,Drake - Hotline Bling,Paris,Billboard Top 50,Adele - Hello,Yes,2011,41-50
Classical,Relaxed,16,2011-03-11,5,1081,1.677239359,31,Male,Yes,No,0.914331452,Queen - Bohemian Rhapsody,Pop genre,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Grammys 2023,Taylor Swift - Willow,No,2011,31-40
Reggae,Relaxed,24,2011-03-12,3,1187,0.612223929,64,Female,Yes,Yes,13.9767997,Taylor Swift - Love Story,Queen,Imagine Dragons - Believer,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,Tokyo,Oscar-winning movie soundtrack,Adele - Hello,No,2011,61-70
Rock,Energetic,95,2011-03-13,4,1114,1.981327601,34,Female,No,No,2.389751168,Queen - Bohemian Rhapsody,Beatles,Taylor Swift - Shake it Off,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,Paris,Coachella 2022,Adele - Hello,No,2011,31-40
Jazz,Melancholic,99,2011-03-14,1,489,0.649313687,28,Others,Yes,Yes,8.03249584,The Beatles - Hey Jude,Beatles,Adele - Hello,Queen - Bohemian Rhapsody,Justin Bieber - Baby,NY,Local Concert,Billie Eilish - Bad Guy,Yes,2011,19-30
Pop,Relaxed,54,2011-03-15,2,1341,-1.410077792,21,Female,No,Yes,12.88026158,Queen - Bohemian Rhapsody,Taylor Swift,Imagine Dragons - Believer,Billie Eilish - Bad Guy,Imagine Dragons - Thunder,London,Coachella 2022,Imagine Dragons - Believer,No,2011,19-30
Rock,Melancholic,4,2011-03-16,3,84,0.886597728,41,Male,Yes,Yes,11.06054266,Coldplay - Yellow,Taylor Swift,Adele - Hello,Billie Eilish - Bad Guy,Cardi B - WAP,London,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,Yes,2011,41-50
Classical,Energetic,60,2011-03-17,1,846,0.176033445,32,Others,No,No,0.807198852,Adele - Hello,Pop genre,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,NY,Billboard Top 50,Queen - Bohemian Rhapsody,Yes,2011,31-40
Country,Relaxed,72,2011-03-18,1,478,1.915045951,38,Non-Binary,Yes,No,0.741160017,The Beatles - Hey Jude,Rock classics,Imagine Dragons - Believer,Coldplay - Yellow,Cardi B - WAP,LA,Oscar-winning movie soundtrack,Adele - Hello,No,2011,31-40
Electronic/Dance,Relaxed,58,2011-03-19,2,1149,-1.766269987,41,Others,Yes,No,1.217143055,The Beatles - Hey Jude,Beatles,Imagine Dragons - Believer,The Beatles - Hey Jude,Cardi B - WAP,NY,Grammys 2023,Billie Eilish - Bad Guy,No,2011,41-50
Rock,Melancholic,53,2011-03-20,1,934,-1.433268102,65,Female,Yes,No,2.910604944,Queen - Bohemian Rhapsody,Rock classics,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Cardi B - WAP,NY,Grammys 2023,Queen - Bohemian Rhapsody,No,2011,61-70
R&B/Soul,Relaxed,35,2011-03-21,5,588,0.111089274,26,Others,Yes,Yes,10.69357636,Adele - Hello,Lofi tracks,Adele - Hello,Billie Eilish - Bad Guy,Drake - Hotline Bling,NY,Billboard Top 50,Queen - Bohemian Rhapsody,No,2011,19-30
Electronic/Dance,Melancholic,8,2011-03-22,3,1297,0.738138091,24,Others,No,Yes,10.07276074,Taylor Swift - Love Story,Beatles,Taylor Swift - Shake it Off,Queen - Bohemian Rhapsody,Cardi B - WAP,Paris,Coachella 2022,Coldplay - Yellow,No,2011,19-30
Electronic/Dance,Relaxed,12,2011-03-23,3,825,-0.482587053,33,Others,Yes,Yes,5.535779244,Adele - Hello,Pop genre,The Beatles - Hey Jude,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,NY,Oscar-winning movie soundtrack,Adele - Hello,No,2011,31-40
Rock,Energetic,36,2011-03-24,3,1280,-0.563318142,44,Non-Binary,Yes,No,2.828908917,Imagine Dragons - Believer,Queen,Adele - Hello,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,LA,Local Concert,Queen - Bohemian Rhapsody,No,2011,41-50
Hip-Hop/Rap,Melancholic,60,2011-03-25,1,774,-0.019233807,20,Others,Yes,No,1.092080089,Coldplay - Yellow,Beatles,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Imagine Dragons - Thunder,LA,Billboard Top 50,Adele - Hello,No,2011,19-30
Reggae,Relaxed,24,2011-03-26,4,974,1.560250729,36,Male,No,No,1.972114308,Taylor Swift - Love Story,Beatles,Taylor Swift - Shake it Off,Billie Eilish - Bad Guy,Justin Bieber - Baby,Paris,Coachella 2022,Taylor Swift - Willow,No,2011,31-40
Country,Relaxed,1,2011-03-27,4,392,1.992413289,57,Others,Yes,No,0.535172845,Taylor Swift - Love Story,Taylor Swift,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,Paris,Grammys 2023,Taylor Swift - Willow,Yes,2011,51-60
Hip-Hop/Rap,Melancholic,31,2011-03-28,1,434,1.844577244,28,Non-Binary,Yes,No,2.572804137,Queen - Bohemian Rhapsody,Rock classics,Imagine Dragons - Believer,Billie Eilish - Bad Guy,Cardi B - WAP,Paris,Billboard Top 50,Imagine Dragons - Believer,No,2011,19-30
Classical,Relaxed,7,2011-03-29,4,1469,-1.676182342,70,Female,Yes,No,2.971322225,Taylor Swift - Love Story,Queen,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,NY,Coachella 2022,Queen - Bohemian Rhapsody,No,2011,61-70
Pop,Relaxed,25,2011-03-30,4,1489,-1.862371375,70,Female,Yes,No,2.958990456,Coldplay - Yellow,Pop genre,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Paris,Local Concert,Billie Eilish - Bad Guy,No,2011,61-70
Classical,Energetic,14,2011-03-31,2,433,0.66868201,32,Non-Binary,No,No,2.371705954,Imagine Dragons - Believer,Rock classics,Coldplay - Yellow,Taylor Swift - Blank Space,Cardi B - WAP,NY,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2011,31-40
R&B/Soul,Energetic,37,2011-04-01,4,908,-1.803450376,49,Non-Binary,No,No,0.756281088,Queen - Bohemian Rhapsody,Lofi tracks,The Beatles - Hey Jude,Queen - Bohemian Rhapsody,Drake - Hotline Bling,Tokyo,Local Concert,Taylor Swift - Willow,No,2011,41-50
R&B/Soul,Energetic,14,2011-04-02,3,542,1.866293021,52,Male,Yes,Yes,12.34660224,The Beatles - Hey Jude,Beatles,Imagine Dragons - Believer,Taylor Swift - Blank Space,Imagine Dragons - Thunder,Paris,Oscar-winning movie soundtrack,Adele - Hello,No,2011,51-60
Electronic/Dance,Melancholic,57,2011-04-03,2,1483,-0.828736217,62,Male,Yes,No,3.630140509,The Beatles - Hey Jude,Beatles,Imagine Dragons - Believer,Coldplay - Yellow,Imagine Dragons - Thunder,Paris,Coachella 2022,Billie Eilish - Bad Guy,No,2011,61-70
Rock,Energetic,54,2011-04-04,5,1361,-0.917630679,67,Male,Yes,Yes,6.868845872,Adele - Hello,Queen,Coldplay - Yellow,Taylor Swift - Blank Space,Justin Bieber - Baby,London,Coachella 2022,Adele - Hello,No,2011,61-70
Rock,Relaxed,16,2011-04-05,1,778,-0.056327429,53,Non-Binary,No,No,3.326934198,Imagine Dragons - Believer,Pop genre,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Justin Bieber - Baby,NY,Coachella 2022,Queen - Bohemian Rhapsody,No,2011,51-60
Blues,Melancholic,95,2011-04-06,5,738,-1.174818163,33,Male,No,Yes,6.143232912,Adele - Hello,Beatles,Imagine Dragons - Believer,Billie Eilish - Bad Guy,Ed Sheeran - Galway Girl,LA,Grammys 2023,Billie Eilish - Bad Guy,No,2011,31-40
Jazz,Relaxed,63,2011-04-07,5,584,-1.084431076,60,Others,Yes,Yes,14.45856217,Queen - Bohemian Rhapsody,Beatles,Coldplay - Yellow,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,LA,Coachella 2022,Queen - Bohemian Rhapsody,No,2011,51-60
Jazz,Relaxed,6,2011-04-08,2,1318,0.077060759,33,Male,Yes,Yes,14.62232956,Taylor Swift - Love Story,Rock classics,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Drake - Hotline Bling,London,Billboard Top 50,Adele - Hello,No,2011,31-40
Rock,Relaxed,18,2011-04-09,3,1384,-0.536175645,69,Female,No,Yes,5.960761302,Adele - Hello,Pop genre,Imagine Dragons - Believer,Ed Sheeran - Shape of You,Drake - Hotline Bling,NY,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2011,61-70
Country,Energetic,67,2011-04-10,3,408,1.613175898,55,Others,Yes,No,1.679672683,Adele - Hello,Rock classics,Queen - Bohemian Rhapsody,The Beatles - Hey Jude,Cardi B - WAP,LA,Local Concert,Billie Eilish - Bad Guy,No,2011,51-60
Classical,Energetic,91,2011-04-11,3,1272,-1.033418356,43,Others,Yes,Yes,7.653327167,The Beatles - Hey Jude,Lofi tracks,Coldplay - Yellow,Taylor Swift - Blank Space,Cardi B - WAP,NY,Coachella 2022,Taylor Swift - Willow,No,2011,41-50
Classical,Relaxed,82,2011-04-12,1,743,-0.536990918,22,Non-Binary,Yes,No,1.419804102,The Beatles - Hey Jude,Lofi tracks,Taylor Swift - Shake it Off,Coldplay - Yellow,Cardi B - WAP,Tokyo,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2011,19-30
Reggae,Relaxed,44,2011-04-13,2,940,1.923517996,60,Others,Yes,No,3.158989394,Coldplay - Yellow,Lofi tracks,Adele - Hello,The Beatles - Hey Jude,Drake - Hotline Bling,London,Coachella 2022,Adele - Hello,No,2011,51-60
Classical,Melancholic,16,2011-04-14,2,602,-1.390020032,38,Non-Binary,No,Yes,8.726504552,Imagine Dragons - Believer,Pop genre,Adele - Hello,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,London,Oscar-winning movie soundtrack,Billie Eilish - Bad Guy,No,2011,31-40
R&B/Soul,Energetic,16,2011-04-15,1,117,-1.219179461,65,Others,Yes,No,1.871315355,Queen - Bohemian Rhapsody,Rock classics,Coldplay - Yellow,The Beatles - Hey Jude,Justin Bieber - Baby,London,Coachella 2022,Billie Eilish - Bad Guy,No,2011,61-70
Pop,Relaxed,48,2011-04-16,5,250,0.112485883,29,Female,No,No,3.291982981,The Beatles - Hey Jude,Taylor Swift,Adele - Hello,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,NY,Billboard Top 50,Billie Eilish - Bad Guy,No,2011,19-30
R&B/Soul,Melancholic,39,2011-04-17,2,57,-0.365533134,65,Male,Yes,Yes,10.48280611,Adele - Hello,Pop genre,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Cardi B - WAP,London,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2011,61-70
Jazz,Energetic,80,2011-04-18,5,572,-1.91277982,22,Others,No,No,3.368556017,Coldplay - Yellow,Beatles,Coldplay - Yellow,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,Tokyo,Local Concert,Queen - Bohemian Rhapsody,No,2011,19-30
Electronic/Dance,Energetic,77,2011-04-19,5,1071,-0.298360164,70,Male,No,No,3.436268914,Queen - Bohemian Rhapsody,Rock classics,Coldplay - Yellow,Taylor Swift - Blank Space,Ed Sheeran - Galway Girl,Tokyo,Local Concert,Billie Eilish - Bad Guy,No,2011,61-70
Reggae,Melancholic,40,2011-04-20,3,385,-1.719819554,51,Others,Yes,Yes,5.879726345,Queen - Bohemian Rhapsody,Queen,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Cardi B - WAP,Tokyo,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2011,51-60
Jazz,Energetic,63,2011-04-21,4,608,1.556920864,48,Others,Yes,Yes,12.14457211,Imagine Dragons - Believer,Queen,Adele - Hello,Ed Sheeran - Shape of You,Cardi B - WAP,Tokyo,Grammys 2023,Billie Eilish - Bad Guy,No,2011,41-50
Reggae,Relaxed,41,2011-04-22,2,1207,1.445451434,38,Male,No,Yes,9.625890951,Queen - Bohemian Rhapsody,Rock classics,Coldplay - Yellow,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,Tokyo,Local Concert,Taylor Swift - Willow,No,2011,31-40
Pop,Relaxed,36,2011-04-23,4,1193,-0.817694535,43,Female,Yes,No,0.782626625,The Beatles - Hey Jude,Lofi tracks,Imagine Dragons - Believer,Queen - Bohemian Rhapsody,Cardi B - WAP,London,Grammys 2023,Coldplay - Yellow,No,2011,41-50
Classical,Melancholic,62,2011-04-24,1,579,0.707266797,70,Male,Yes,Yes,5.995144919,The Beatles - Hey Jude,Rock classics,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Justin Bieber - Baby,Paris,Local Concert,Imagine Dragons - Believer,No,2011,61-70
Electronic/Dance,Relaxed,96,2011-04-25,2,1120,-1.593355041,47,Female,Yes,Yes,8.827655436,The Beatles - Hey Jude,Taylor Swift,Adele - Hello,Taylor Swift - Blank Space,Ed Sheeran - Galway Girl,Tokyo,Grammys 2023,Billie Eilish - Bad Guy,No,2011,41-50
Classical,Melancholic,48,2011-04-26,5,701,-1.940589217,13,Male,No,Yes,8.09267893,Adele - Hello,Lofi tracks,Adele - Hello,Ed Sheeran - Shape of You,Cardi B - WAP,NY,Oscar-winning movie soundtrack,Queen - Bohemian Rhapsody,No,2011,0-18
R&B/Soul,Energetic,62,2011-04-27,1,339,1.483989413,62,Female,Yes,No,1.385544074,Imagine Dragons - Believer,Taylor Swift,The Beatles - Hey Jude,Queen - Bohemian Rhapsody,Cardi B - WAP,Tokyo,Local Concert,Coldplay - Yellow,No,2011,61-70
Hip-Hop/Rap,Relaxed,29,2011-04-28,3,306,0.926343333,55,Female,Yes,No,2.464647996,Taylor Swift - Love Story,Queen,Coldplay - Yellow,Queen - Bohemian Rhapsody,Ed Sheeran - Galway Girl,Paris,Grammys 2023,Queen - Bohemian Rhapsody,No,2011,51-60
Reggae,Relaxed,41,2011-04-29,4,79,1.648408202,61,Non-Binary,No,No,3.932650932,Adele - Hello,Lofi tracks,Taylor Swift - Shake it Off,Coldplay - Yellow,Imagine Dragons - Thunder,LA,Local Concert,Taylor Swift - Willow,Yes,2011,61-70
Blues,Melancholic,44,2011-04-30,2,878,-1.957643908,24,Female,Yes,No,1.77902444,Imagine Dragons - Believer,Beatles,Queen - Bohemian Rhapsody,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,NY,Local Concert,Taylor Swift - Willow,No,2011,19-30
Rock,Relaxed,28,2011-05-01,3,1452,-1.839946326,49,Male,Yes,Yes,12.84590688,Imagine Dragons - Believer,Rock classics,Taylor Swift - Shake it Off,Coldplay - Yellow,Justin Bieber - Baby,Tokyo,Local Concert,Imagine Dragons - Believer,No,2011,41-50
Rock,Energetic,97,2011-05-02,5,81,-0.690204707,35,Others,No,No,3.865846959,The Beatles - Hey Jude,Rock classics,Coldplay - Yellow,Taylor Swift - Blank Space,Imagine Dragons - Thunder,London,Coachella 2022,Billie Eilish - Bad Guy,No,2011,31-40
Reggae,Energetic,89,2011-05-03,3,1078,-0.454191552,52,Non-Binary,No,No,3.966903988,Queen - Bohemian Rhapsody,Pop genre,The Beatles - Hey Jude,Coldplay - Yellow,Imagine Dragons - Thunder,NY,Local Concert,Imagine Dragons - Believer,No,2011,51-60
Jazz,Energetic,81,2011-05-04,1,3,0.470868643,21,Non-Binary,No,No,3.839493524,Queen - Bohemian Rhapsody,Pop genre,Queen - Bohemian Rhapsody,Taylor Swift - Blank Space,Ed Sheeran - Galway Girl,London,Grammys 2023,Coldplay - Yellow,No,2011,19-30
R&B/Soul,Relaxed,71,2011-05-05,2,1485,-0.158482328,61,Female,Yes,No,2.953996484,The Beatles - Hey Jude,Rock classics,Adele - Hello,Ed Sheeran - Shape of You,Cardi B - WAP,Paris,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2011,61-70
Blues,Energetic,18,2011-05-06,4,1455,-1.693689404,54,Others,Yes,No,1.384342012,The Beatles - Hey Jude,Beatles,Taylor Swift - Shake it Off,Ed Sheeran - Shape of You,Ed Sheeran - Galway Girl,London,Coachella 2022,Billie Eilish - Bad Guy,No,2011,51-60
Pop,Relaxed,6,2011-05-07,1,1050,-0.065511774,16,Non-Binary,Yes,No,3.512187227,The Beatles - Hey Jude,Lofi tracks,Adele - Hello,Ed Sheeran - Shape of You,Cardi B - WAP,Paris,Local Concert,Adele - Hello,No,2011,0-18
Jazz,Melancholic,10,2011-05-08,5,1164,1.590045094,65,Others,Yes,No,2.246378027,Coldplay - Yellow,Lofi tracks,Taylor Swift - Shake it Off,Taylor Swift - Blank Space,Imagine Dragons - Thunder,LA,Coachella 2022,Coldplay - Yellow,No,2011,61-70
Electronic/Dance,Relaxed,85,2011-05-09,4,672,-0.660777221,65,Male,Yes,No,2.130565682,Queen - Bohemian Rhapsody,Queen,Coldplay - Yellow,Ed Sheeran - Shape of You,Imagine Dragons - Thunder,LA,Grammys 2023,Coldplay - Yellow,No,2011,61-70
Pop,Relaxed,36,2011-05-10,3,1106,1.550890722,52,Female,No,No,1.856036345,Queen - Bohemian Rhapsody,Pop genre,Queen - Bohemian Rhapsody,Ed Sheeran - Shape of You,Drake - Hotline Bling,LA,Local Concert,Adele - Hello,No,2011,51-60
Blues,Melancholic,79,2011-05-11,1,1017,-1.240901883,23,Male,Yes,No,1.016446952,Taylor Swift - Love Story,Pop genre,The Beatles - Hey Jude,The Beatles - Hey Jude,Justin Bieber - Baby,NY,Billboard Top 50,Billie Eilish - Bad Guy,No,2011,19-30
Classical,Relaxed,91,2011-05-12,5,19,-1.000465401,23,Male,No,No,3.407193702,Queen - Bohemian Rhapsody,Taylor Swift,Imagine Dragons - Believer,The Beatles - Hey Jude,Drake - Hotline Bling,LA,Oscar-winning movie soundtrack,Coldplay - Yellow,No,2011,19-30
Pop,Melancholic,63,2011-05-13,2,805,1.432866915,47,Non-Binary,No,Yes,7.797633226,Imagine Dragons - Believer,Beatles,Adele - Hello,The Beatles - Hey Jude,Imagine Dragons - Thunder,Tokyo,Billboard Top 50,Queen - Bohemian Rhapsody,No,2011,41-50
Reggae,Energetic,62,2011-05-14,4,1127,1.475442935,67,Male,Yes,No,1.819921285,The Beatles - Hey Jude,Pop genre,Taylor Swift - Shake it Off,Queen - Bohemian Rhapsody,Drake - Hotline Bling,Tokyo,Local Concert,Coldplay - Yellow,No,2011,61-70
Electronic/Dance,Energetic,6,2011-05-15,1,31,-0.501899071,68,Female,Yes,No,3.961936101,Queen - Bohemian Rhapsody,Queen,The Beatles - Hey Jude,Ed Sheeran - Shape of You,Drake - Hotline Bling,LA,Coachella 2022,Coldplay - Yellow,No,2011,61-70
Hip-Hop/Rap,Relaxed,24,2011-05-16,2,1048,0.311640245,38,Male,Yes,No,2.626032084,The Beatles - Hey Jude,Taylor Swift,Queen - Bohemian Rhapsody,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Billboard Top 50,Coldplay - Yellow,No,2011,31-40
Hip-Hop/Rap,Relaxed,41,2011-05-17,5,1278,-0.044618275,47,Female,Yes,No,0.873996986,Imagine Dragons - Believer,Pop genre,The Beatles - Hey Jude,The Beatles - Hey Jude,Justin Bieber - Baby,NY,Billboard Top 50,Imagine Dragons - Believer,No,2011,41-50
Classical,Relaxed,81,2011-05-18,4,704,0.968761776,46,Male,Yes,Yes,10.08005109,Taylor Swift - Love Story,Lofi tracks,Imagine Dragons - Believer,Coldplay - Yellow,Justin Bieber - Baby,NY,Billboard Top 50,Imagine Dragons - Believer,No,2011,41-50
Pop,Energetic,38,2011-05-19,4,391,-1.097564057,27,Others,No,No,2.85638101,Coldplay - Yellow,Beatles,Taylor Swift - Shake it Off,The Beatles - Hey Jude,Justin Bieber - Baby,Tokyo,Grammys 2023,Imagine Dragons - Believer,No,2011,19-30
Hip-Hop/Rap,Energetic,45,2011-05-20,2,1193,0.995564268,40,Male,Yes,Yes,14.72198866,Taylor Swift - Love Story,Rock classics,The Beatles - Hey Jude,Taylor Swift - Blank Space,Cardi B - WAP,Paris,Coachella 2022,Imagine Dragons - Believer,No,2011,31-40
Rock,Energetic,57,2011-05-21,1,638,1.299474048,32,Female,Yes,Yes,8.220139544,Coldplay - Yellow,Pop genre,Adele - Hello,Billie Eilish - Bad Guy,Cardi B - WAP,Paris,Grammys 2023,Imagine Dragons - Believer,No,2011,31-40
Country,Energetic,13,2011-05-22,2,1304,-1.601826484,37,Others,No,Yes,9.957500452,Adele - Hello,Pop genre,The Beatles - Hey Jude,Coldplay - Yellow,Cardi B - WAP,LA,Oscar-winning movie soundtrack,Adele - Hello,No,2011,31-40
Country,Relaxed,1,2011-05-23,3,944,-0.896514531,40,Female,Yes,No,2.201431484,Imagine Dragons - Believer,Queen,Adele - Hello,Ed Sheeran - Shape of You,Cardi B - WAP,Tokyo,Oscar-winning movie soundtrack,Billie Eilish - Bad Guy,No,2011,31-40
Blues,Relaxed,68,2011-05-24,4,678,-1.914492896,43,Male,Yes,Yes,5.160316431,The Beatles - Hey Jude,Queen,Adele - Hello,Billie Eilish - Bad Guy,Drake - Hotline Bling,LA,Oscar-winning movie soundtrack,Imagine Dragons - Believer,No,2011,41-50
Hip-Hop/Rap,Relaxed,84,2011-05-25,2,781,0.384971867,22,Male,Yes,Yes,11.86882479,Queen - Bohemian Rhapsody,Lofi tracks,Adele - Hello,The Beatles - Hey Jude,Imagine Dragons - Thunder,NY,Coachella 2022,Adele - Hello,No,2011,19-30
Jazz,Melancholic,94,2011-05-26,2,1462,1.945137546,21,Non-Binary,Yes,No,2.866096687,Taylor Swift - Love Story,Taylor Swift,Taylor Swift - Shake it Off,Queen - Bohemian Rhapsody,Cardi B - WAP,Tokyo,Oscar-winning movie soundtrack,Taylor Swift - Willow,No,2011,19-30
Pop,Relaxed,5,2011-05-27,5,1026,1.381490012,41,Female,Yes,No,0.584064798,Imagine Dragons - Believer,Beatles,The Beatles - Hey Jude,Billie Eilish - Bad Guy,Cardi B - WAP,NY,Billboard Top 50,Coldplay - Yellow,No,2011,41-50
R&B/Soul,Energetic,67,2011-05-28,3,1258,0.365976227,63,Others,Yes,No,2.302697646,Adele - Hello,Taylor Swift,Adele - Hello,Billie Eilish - Bad Guy,Justin Bieber - Baby,NY,Billboard Top 50,Coldplay - Yellow,No,2011,61-70
Hip-Hop/Rap,Energetic,38,2011-05-29,5,593,-0.626589408,40,Others,Yes,Yes,13.69872541,Coldplay - Yellow,Beatles,The Beatles - Hey Jude,Queen - Bohemian Rhapsody,Imagine Dragons - Thunder,London,Billboard Top 50,Queen - Bohemian Rhapsody,No,2011,31-40
